time,id
1720215494.913571000,4475
1720215494.913657000,4476
1720215494.927590000,4477
1720215494.927664000,4478
1720215494.951735000,4479
1720215494.951819000,4480
1720215494.965782000,4481
1720215494.965869000,4482
1720215494.979862000,4483
1720215494.979974000,4484
1720215494.993986000,4485
1720215494.994059000,4486
1720215495.017979000,4487
1720215495.018068000,4488
1720215495.032958000,4489
1720215495.033000000,4490
1720215495.033051000,4491
1720215495.033066000,4493
1720215495.033099000,4495
1720215495.033129000,4497
1720215495.033158000,4499
1720215495.033187000,4501
1720215495.035287000,4503
1720215495.035303000,4505
1720215495.035342000,4507
1720215495.035354000,4509
1720215495.035365000,4514
1720215495.035411000,4519
1720215495.048288000,4525
1720215495.048384000,4526
1720215495.063058000,4527
1720215495.063155000,4528
1720215495.077857000,4529
1720215495.077940000,4530
1720215495.102935000,4531
1720215495.103022000,4532
1720215495.117805000,4533
1720215495.117894000,4534
1720215495.132635000,4535
1720215495.132731000,4536
1720215495.147543000,4537
1720215495.147624000,4538
1720215495.161945000,4539
1720215495.162035000,4540
1720215495.187215000,4541
1720215495.187313000,4542
1720215495.202095000,4543
1720215495.202164000,4544
1720215495.217234000,4545
1720215495.217315000,4546
1720215495.232750000,4547
1720215495.232799000,4548
1720215495.232829000,4550
1720215495.232867000,4554
1720215495.232902000,4558
1720215495.232944000,4563
1720215495.232983000,4568
1720215495.233019000,4573
1720215495.233049000,4577
1720215495.233077000,4581
1720215495.249190000,4583
1720215495.249292000,4584
1720215495.265225000,4585
1720215495.265317000,4586
1720215495.279463000,4587
1720215495.279544000,4588
1720215495.293951000,4589
1720215495.294006000,4590
1720215495.318669000,4591
1720215495.318771000,4592
1720215495.333042000,4593
1720215495.347370000,4594
1720215495.347440000,4595
1720215495.361846000,4596
1720215495.386064000,4597
1720215495.400580000,4598
1720215495.414925000,4599
1720215495.430349000,4600
1720215495.430382000,4601
1720215495.430410000,4603
1720215495.430448000,4607
1720215495.430487000,4612
1720215495.430523000,4616
1720215495.430555000,4621
1720215495.430577000,4623
1720215495.430608000,4626
1720215495.430639000,4630
1720215495.430669000,4634
1720215495.447268000,4635
1720215495.463039000,4636
1720215495.479176000,4637
1720215495.495605000,4638
1720215495.521118000,4639
1720215495.535161000,4640
1720215495.575723000,4641
1720215495.575822000,4642
1720215495.581466000,4643
1720215495.595814000,4644
1720215495.610127000,4645
1720215495.634981000,4646
1720215495.635014000,4647
1720215495.635045000,4649
1720215495.635073000,4652
1720215495.635114000,4656
1720215495.635139000,4660
1720215495.635161000,4663
1720215495.635191000,4666
1720215495.635220000,4670
1720215495.635243000,4673
1720215495.635265000,4676
1720215495.635294000,4679
1720215495.652316000,4682
1720215495.667726000,4683
1720215495.682013000,4684
1720215495.696151000,4685
1720215495.713244000,4686
1720215495.728492000,4687
1720215495.752457000,4688
1720215495.768822000,4689
1720215495.783770000,4690
1720215495.797812000,4691
1720215495.812008000,4692
1720215495.837646000,4693
1720215495.837715000,4694
1720215495.837750000,4696
1720215495.837778000,4697
1720215495.837816000,4699
1720215495.837847000,4701
1720215495.837884000,4704
1720215495.837918000,4708
1720215495.837955000,4713
1720215495.837985000,4717
1720215495.838019000,4722
1720215495.838059000,4727
1720215495.851688000,4728
1720215495.865535000,4729
1720215495.879846000,4730
1720215495.894055000,4731
1720215495.918234000,4732
1720215495.959702000,4733
1720215495.959736000,4734
1720215495.983768000,4736
1720215495.997611000,4737
1720215496.011401000,4738
1720215496.036294000,4739
1720215496.036328000,4740
1720215496.036356000,4742
1720215496.036394000,4746
1720215496.036428000,4750
1720215496.036461000,4755
1720215496.036497000,4760
1720215496.036526000,4763
1720215496.036562000,4766
1720215496.036603000,4770
1720215496.050406000,4774
1720215496.064256000,4775
1720215496.078082000,4776
1720215496.101985000,4777
1720215496.143699000,4778
1720215496.143732000,4779
1720215496.143782000,4780
1720215496.169392000,4781
1720215496.169471000,4782
1720215496.183357000,4783
1720215496.183415000,4784
1720215496.197266000,4785
1720215496.197338000,4786
1720215496.214897000,4787
1720215496.214972000,4788
1720215496.229688000,4789
1720215496.229726000,4790
1720215496.229767000,4792
1720215496.229805000,4795
1720215496.229846000,4799
1720215496.229883000,4802
1720215496.229920000,4805
1720215496.229960000,4809
1720215496.229991000,4812
1720215496.230025000,4816
1720215496.230056000,4819
1720215496.230091000,4823
1720215496.245454000,4824
1720215496.245541000,4825
1720215496.272208000,4826
1720215496.272305000,4827
1720215496.288522000,4828
1720215496.288617000,4829
1720215496.302581000,4830
1720215496.302663000,4831
1720215496.317936000,4832
1720215496.318020000,4833
1720215496.332117000,4834
1720215496.332192000,4835
1720215496.346082000,4836
1720215496.346150000,4837
1720215496.360335000,4838
1720215496.360432000,4839
1720215496.384965000,4840
1720215496.385058000,4841
1720215496.401041000,4842
1720215496.401114000,4843
1720215496.419391000,4844
1720215496.419470000,4845
1720215496.437779000,4846
1720215496.437819000,4847
1720215496.437860000,4849
1720215496.437905000,4853
1720215496.437948000,4858
1720215496.437985000,4861
1720215496.438020000,4865
1720215496.438054000,4868
1720215496.438087000,4871
1720215496.438123000,4875
1720215496.438149000,4877
1720215496.438183000,4880
1720215496.456860000,4882
1720215496.456893000,4883
1720215496.456921000,4885
1720215496.456964000,4889
1720215496.475338000,4890
1720215496.475379000,4891
1720215496.475415000,4893
1720215496.475468000,4897
1720215496.475501000,4899
1720215496.493247000,4900
1720215496.493286000,4901
1720215496.493326000,4903
1720215496.493362000,4906
1720215496.493396000,4910
1720215496.512495000,4912
1720215496.512530000,4913
1720215496.512558000,4915
1720215496.512594000,4919
1720215496.512629000,4924
1720215496.531410000,4925
1720215496.531463000,4926
1720215496.531491000,4928
1720215496.531520000,4931
1720215496.531567000,4935
1720215496.549706000,4938
1720215496.549742000,4939
1720215496.549770000,4941
1720215496.549806000,4945
1720215496.549841000,4950
1720215496.567953000,4951
1720215496.567990000,4952
1720215496.568017000,4954
1720215496.568046000,4958
1720215496.568080000,4962
1720215496.586258000,4964
1720215496.586294000,4965
1720215496.586322000,4967
1720215496.586351000,4971
1720215496.586372000,4972
1720215496.586398000,4974
1720215496.604474000,4977
1720215496.604510000,4978
1720215496.604539000,4980
1720215496.604583000,4984
1720215496.604617000,4988
1720215496.622358000,4990
1720215496.622400000,4991
1720215496.622431000,4993
1720215496.622473000,4996
1720215496.622511000,4999
1720215496.622544000,5003
1720215496.639805000,5004
1720215496.639846000,5005
1720215496.639892000,5007
1720215496.656611000,5010
1720215496.656645000,5011
1720215496.656675000,5013
1720215496.656735000,5017
1720215496.658055000,5018
1720215496.658199000,5019
1720215496.658227000,5020
1720215496.658260000,5021
1720215496.658285000,5022
1720215496.658307000,5023
1720215496.658354000,5025
1720215496.658379000,5026
1720215496.658400000,5027
1720215496.658419000,5028
1720215496.658438000,5030
1720215496.658460000,5032
1720215496.658481000,5033
1720215496.658501000,5035
1720215496.658520000,5037
1720215496.658544000,5039
1720215496.673539000,5041
1720215496.673597000,5042
1720215496.673634000,5044
1720215496.673691000,5045
1720215496.673723000,5047
1720215496.673761000,5048
1720215496.673797000,5049
1720215496.673831000,5051
1720215496.691502000,5052
1720215496.691536000,5053
1720215496.691581000,5055
1720215496.691662000,5058
1720215496.691694000,5059
1720215496.691713000,5061
1720215496.691744000,5063
1720215496.708333000,5064
1720215496.708364000,5065
1720215496.708392000,5067
1720215496.708423000,5071
1720215496.708459000,5075
1720215496.725984000,5076
1720215496.726024000,5077
1720215496.726053000,5079
1720215496.726110000,5083
1720215496.726157000,5087
1720215496.742393000,5088
1720215496.742426000,5089
1720215496.742466000,5091
1720215496.742508000,5095
1720215496.742555000,5100
1720215496.760104000,5101
1720215496.760134000,5102
1720215496.760174000,5104
1720215496.760220000,5108
1720215496.760264000,5112
1720215496.776909000,5113
1720215496.776945000,5114
1720215496.776975000,5116
1720215496.777009000,5118
1720215496.777040000,5120
1720215496.777075000,5123
1720215496.794526000,5125
1720215496.794557000,5126
1720215496.794601000,5128
1720215496.794637000,5132
1720215496.794685000,5137
1720215496.810738000,5138
1720215496.810795000,5139
1720215496.810822000,5141
1720215496.810858000,5144
1720215496.810895000,5148
1720215496.828988000,5151
1720215496.829029000,5152
1720215496.829048000,5154
1720215496.829067000,5155
1720215496.829093000,5157
1720215496.829118000,5159
1720215496.829142000,5161
1720215496.829163000,5162
1720215496.829183000,5163
1720215496.848226000,5164
1720215496.848267000,5165
1720215496.848295000,5167
1720215496.848329000,5171
1720215496.848368000,5174
1720215496.866996000,5176
1720215496.867041000,5177
1720215496.867085000,5179
1720215496.867118000,5181
1720215496.867149000,5183
1720215496.867196000,5186
1720215496.867233000,5189
1720215496.867271000,5193
1720215496.867301000,5195
1720215496.867338000,5198
1720215496.867371000,5199
1720215496.883017000,5200
1720215496.883049000,5201
1720215496.883095000,5203
1720215496.899724000,5207
1720215496.899776000,5208
1720215496.899804000,5210
1720215496.899832000,5213
1720215496.899871000,5217
1720215496.917530000,5218
1720215496.917566000,5219
1720215496.917595000,5221
1720215496.917640000,5225
1720215496.935572000,5229
1720215496.935607000,5230
1720215496.935637000,5232
1720215496.935664000,5234
1720215496.935692000,5236
1720215496.935720000,5239
1720215496.953589000,5242
1720215496.953624000,5243
1720215496.953652000,5245
1720215496.953693000,5249
1720215496.953721000,5252
1720215496.971736000,5254
1720215496.971779000,5255
1720215496.971811000,5257
1720215496.971835000,5258
1720215496.971866000,5260
1720215496.971890000,5261
1720215496.971918000,5262
1720215496.971944000,5264
1720215496.971968000,5265
1720215496.989804000,5266
1720215496.989845000,5267
1720215496.989881000,5269
1720215496.989916000,5273
1720215496.989952000,5277
1720215497.007853000,5278
1720215497.007895000,5279
1720215497.007933000,5281
1720215497.007979000,5285
1720215497.008018000,5289
1720215497.025757000,5290
1720215497.025797000,5291
1720215497.025832000,5293
1720215497.025880000,5297
1720215497.025923000,5301
1720215497.025961000,5304
1720215497.045447000,5305
1720215497.045482000,5306
1720215497.045510000,5308
1720215497.045552000,5312
1720215497.064401000,5315
1720215497.064433000,5316
1720215497.064462000,5318
1720215497.064495000,5322
1720215497.064530000,5327
1720215497.081258000,5328
1720215497.081294000,5329
1720215497.081321000,5331
1720215497.081354000,5335
1720215497.081390000,5338
1720215497.096531000,5340
1720215497.096564000,5341
1720215497.096592000,5343
1720215497.096626000,5347
1720215497.096653000,5350
1720215497.111829000,5351
1720215497.111860000,5352
1720215497.111888000,5354
1720215497.111935000,5358
1720215497.129759000,5360
1720215497.129790000,5361
1720215497.129818000,5363
1720215497.147489000,5367
1720215497.147522000,5368
1720215497.147549000,5370
1720215497.163926000,5374
1720215497.180464000,5375
1720215497.196890000,5376
1720215497.213452000,5377
1720215497.230765000,5378
1720215497.249206000,5379
1720215497.267197000,5380
1720215497.284529000,5381
1720215497.300166000,5382
1720215497.316255000,5383
1720215497.334339000,5384
1720215497.353187000,5385
1720215497.353219000,5386
1720215497.353246000,5388
1720215497.353297000,5392
1720215497.373172000,5393
1720215497.373212000,5394
1720215497.373248000,5396
1720215497.373301000,5400
1720215497.391837000,5402
1720215497.391869000,5403
1720215497.391895000,5405
1720215497.391922000,5409
1720215497.410465000,5413
1720215497.410497000,5414
1720215497.410524000,5416
1720215497.410565000,5420
1720215497.429734000,5424
1720215497.429774000,5425
1720215497.429809000,5427
1720215497.429845000,5430
1720215497.429916000,5434
1720215497.449932000,5436
1720215497.449966000,5437
1720215497.449994000,5439
1720215497.450026000,5443
1720215497.450069000,5448
1720215497.469964000,5449
1720215497.470001000,5450
1720215497.470029000,5452
1720215497.470071000,5456
1720215497.470103000,5460
1720215497.485080000,5462
1720215497.485115000,5463
1720215497.485144000,5465
1720215497.485169000,5467
1720215497.485200000,5470
1720215497.485232000,5474
1720215497.500553000,5475
1720215497.500593000,5476
1720215497.500618000,5478
1720215497.500640000,5479
1720215497.500667000,5481
1720215497.500704000,5484
1720215497.500724000,5486
1720215497.518428000,5489
1720215497.518462000,5490
1720215497.518491000,5492
1720215497.518524000,5496
1720215497.518572000,5501
1720215497.541641000,5502
1720215497.541687000,5503
1720215497.541716000,5505
1720215497.541752000,5509
1720215497.541802000,5514
1720215497.564522000,5516
1720215497.564557000,5517
1720215497.564585000,5519
1720215497.564621000,5523
1720215497.564690000,5528
1720215497.585929000,5530
1720215497.585965000,5531
1720215497.585992000,5533
